week,category,weekly_rank,Movie Name,season_title,weekly_hours_viewed,Duration,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
2023-06-04,Films (English),10,F9: The Fast Saga,,4160000,,,2,False,
2023-05-28,Films (English),1,The Mother,,34690000,,,3,False,
2023-05-28,Films (English),2,2 Hearts,,19280000,,,1,False,
2023-05-28,Films (English),3,Missing,,15930000,,,2,False,
2023-05-28,Films (English),4,The Son,,7940000,,,1,False,
2023-05-28,Films (English),5,The Great Wall,,7690000,,,2,False,
2023-05-28,Films (English),6,Victim/Suspect,,6600000,,,1,False,
2023-05-28,Films (English),7,Ted,,5750000,,,2,False,
2023-05-28,Films (English),8,Anna Nicole Smith: You Don't Know Me,,5550000,,,2,False,
2023-05-28,Films (English),9,The Boss Baby,,5450000,,,5,False,
2023-05-28,Films (English),10,A Man Called Otto,,5350000,,,4,False,
2023-05-21,Films (English),1,The Mother,,94420000,,,2,False,
2023-05-21,Films (English),2,Anna Nicole Smith: You Don't Know Me,,15650000,,,1,False,
2023-05-21,Films (English),3,Ted,,11210000,,,1,False,
2023-05-21,Films (English),4,A Man Called Otto,,10640000,,,3,False,
2023-05-21,Films (English),5,Synchronic,,6990000,,,2,False,
2023-05-21,Films (English),6,Missing,,5220000,,,1,False,
2023-05-21,Films (English),7,Harry Potter and the Sorcerer's Stone,,4790000,,,1,False,
2023-05-21,Films (English),8,The Croods,,4280000,,,5,False,
2023-05-21,Films (English),9,UglyDolls,,3820000,,,1,False,
2023-05-21,Films (English),10,The Healer,,3330000,,,1,False,
2023-05-14,Films (English),1,The Mother,,83710000,,,1,False,
2023-05-14,Films (English),2,A Man Called Otto,,19880000,,,2,False,
2023-05-14,Films (English),3,The Croods,,8700000,,,4,False,
2023-05-14,Films (English),4,The Deep End of the Ocean,,6420000,,,2,False,
2023-05-14,Films (English),5,Synchronic,,5930000,,,1,False,
2023-05-14,Films (English),6,Kung Fu Panda 3,,5750000,,,3,False,
2023-05-14,Films (English),7,Wrong Place,,5580000,,,2,False,
2023-05-14,Films (English),8,The Tournament,,4880000,,,2,False,
2023-05-14,Films (English),9,Pitch Perfect,,4580000,,,2,False,
