row_id,movie_name,rating,votes,meta_score,genre0,genre1,genre2,genre3,pr_rating,year,duration,cast0,cast1,cast2,cast3,cast4,director,number_rating,weekly_rank,weekly_hours_viewed,weekly_views,cumulative_weeks_in_top_10
671,In Time,6.7,438000.0,53.0,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,PG-13,2011,1.817,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde",Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde,Andrew Niccol,3.0,9.0,5400000.0,3000000.0,3.0
671,In Time,6.7,438000.0,53.0,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,PG-13,2011,1.817,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde",Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde,Andrew Niccol,3.0,3.0,10400000.0,5700000.0,2.0
89,The Wolf of Wall Street,8.2,1500000.0,75.0,"Biography, Comedy, Crime",Biography, Comedy, Crime,R,2013,3.0,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey,Martin Scorsese,4.0,6.0,9700000.0,3200000.0,1.0
1332,Fifty Shades Freed,4.5,72000.0,31.0,"Drama, Romance, Thriller",Drama, Romance, Thriller,R,2018,1.75,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford,James Foley,4.0,5.0,5900000.0,3400000.0,1.0
1219,Jack Reacher: Never Go Back,6.1,171000.0,47.0,"Action, Crime, Drama",Action, Crime, Drama,PG-13,2016,1.967,"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper",Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper,Edward Zwick,3.0,10.0,5200000.0,2600000.0,3.0
1509,Predators,6.4,241000.0,51.0,"Action, Adventure, Fantasy",Action, Adventure, Fantasy,R,2010,1.783,"Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga",Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga,Nimród Antal,4.0,10.0,6500000.0,1700000.0,2.0
837,Love Again,5.9,11000.0,32.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,PG-13,2023,1.733,"Priyanka Chopra Jonas, Sam Heughan, Céline Dion, Sofia Barclay",Priyanka Chopra Jonas, Sam Heughan, Céline Dion, Sofia Barclay,Jim Strouse,3.0,7.0,6600000.0,3800000.0,2.0
1219,Jack Reacher: Never Go Back,6.1,171000.0,47.0,"Action, Crime, Drama",Action, Crime, Drama,PG-13,2016,1.967,"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper",Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper,Edward Zwick,3.0,8.0,7400000.0,3800000.0,2.0
649,Heart of Stone,5.7,55000.0,44.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2023,2.033,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi",Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi,Tom Harper,3.0,9.0,7300000.0,3500000.0,5.0
320,Jack Reacher,7.0,359000.0,50.0,"Action, Mystery, Thriller",Action, Mystery, Thriller,PG-13,2012,2.167,"Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog",Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog,Christopher McQuarrie,3.0,10.0,7500000.0,3500000.0,2.0
